"CVE_GEOEST","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"010010101","22°02'07.000""N","102°08'49.000""W","1940","F13B89","R","Aguascalientes","Aguascalientes"
"010010105","21°53'19.000""N","102°09'07.000""W","2020","F13D19","R","Aguascalientes","Aguascalientes"
"010010122","21°49'08.000""N","102°05'04.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010131","22°03'50.000""N","102°13'14.000""W","1985","F13B89","R","Aguascalientes","Aguascalientes"
"010010132","21°57'53.000""N","102°16'09.000""W","1920","F13D19","R","Aguascalientes","Aguascalientes"
"010010193","22°01'42.000""N","102°16'33.000""W","1900","F13B89","R","Aguascalientes","Aguascalientes"
"010060242","22°09'48.000""N","102°18'09.000""W","1920","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010010063","22°03'54.000""N","102°16'56.000""W","1870","F13B89","R","Aguascalientes","Aguascalientes"
"010010107","21°53'25.000""N","102°05'11.000""W","2025","F13D19","R","Aguascalientes","Aguascalientes"
"010050001","21°57'40.582""N","102°20'36.299""W","1877","F13D18","U","Aguascalientes","Jesús María"
"010020108","22°02'07.000""N","102°03'30.000""W","1970","F13B89","R","Aguascalientes","Asientos"
"010030001","21°50'48.866""N","102°43'07.502""W","1634","F13D17","U","Aguascalientes","Calvillo"
"010110001","22°04'20.615""N","102°16'21.642""W","1892","F13B89","U","Aguascalientes","San Francisco de los Romo"
"010040001","22°21'59.071""N","102°18'00.159""W","2005","F13B79","U","Aguascalientes","Cosío"
"010010887","21°59'15.179""N","102°11'00.532""W","1952","F13D19","R","Aguascalientes","Aguascalientes"
"010060001","22°08'57.126""N","102°16'35.550""W","1911","F13B89","U","Aguascalientes","Pabellón de Arteaga"
"010070001","22°13'45.239""N","102°19'23.047""W","1948","F13B89","U","Aguascalientes","Rincón de Romos"
